instance_type,physical_processor,vcpu,memory,gpu,gpu_memory
u-6tb1.56xlarge,Intel Xeon Scalable (Skylake),224.0,6144.0,0.0,0.0
u-6tb1.metal,Intel Xeon Scalable (Skylake),448.0,6144.0,0.0,0.0
u-9tb1.112xlarge,Intel Xeon Scalable (Skylake),448.0,9216.0,0.0,0.0
u-9tb1.metal,Intel Xeon Scalable (Skylake),448.0,9216.0,0.0,0.0
u7i-12tb.224xlarge,Intel Xeon Scalable (Sapphire Rapids),896.0,12288.0,0.0,0.0
u7i-6tb.112xlarge,Intel Xeon Scalable (Sapphire Rapids),448.0,6144.0,0.0,0.0
u7i-8tb.112xlarge,Intel Xeon Scalable (Sapphire Rapids),448.0,8192.0,0.0,0.0
u7in-16tb.224xlarge,Intel Xeon Scalable (Sapphire Rapids),896.0,16384.0,0.0,0.0
u7in-24tb.224xlarge,Intel Xeon Scalable (Sapphire Rapids),896.0,24576.0,0.0,0.0
u7in-32tb.224xlarge,Intel Xeon Scalable (Sapphire Rapids),896.0,32768.0,0.0,0.0
vt1.24xlarge,Intel Xeon Platinum 8259CL,96.0,192.0,0.0,0.0
vt1.3xlarge,Intel Xeon Platinum 8259CL,12.0,24.0,0.0,0.0
vt1.6xlarge,Intel Xeon Platinum 8259CL,24.0,48.0,0.0,0.0
x1.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64.0,976.0,0.0,0.0
x1.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),128.0,1952.0,0.0,0.0
x1e.16xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),64.0,1952.0,0.0,0.0
x1e.2xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),8.0,244.0,0.0,0.0
x1e.32xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),128.0,3904.0,0.0,0.0
x1e.4xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),16.0,488.0,0.0,0.0
x1e.8xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),32.0,976.0,0.0,0.0
x1e.xlarge,High Frequency Intel Xeon E7-8880 v3 (Haswell),4.0,122.0,0.0,0.0
x2gd.12xlarge,AWS Graviton2 Processor,48.0,768.0,0.0,0.0
x2gd.16xlarge,AWS Graviton2 Processor,64.0,1024.0,0.0,0.0
x2gd.2xlarge,AWS Graviton2 Processor,8.0,128.0,0.0,0.0
x2gd.4xlarge,AWS Graviton2 Processor,16.0,256.0,0.0,0.0
x2gd.8xlarge,AWS Graviton2 Processor,32.0,512.0,0.0,0.0
x2gd.large,AWS Graviton2 Processor,2.0,32.0,0.0,0.0
x2gd.medium,AWS Graviton2 Processor,1.0,16.0,0.0,0.0
x2gd.metal,AWS Graviton2 Processor,64.0,1024.0,0.0,0.0
x2gd.xlarge,AWS Graviton2 Processor,4.0,64.0,0.0,0.0
x2idn.16xlarge,Intel Xeon Scalable (Icelake),64.0,1024.0,0.0,0.0
x2idn.24xlarge,Intel Xeon Scalable (Icelake),96.0,1536.0,0.0,0.0
x2idn.32xlarge,Intel Xeon Scalable (Icelake),128.0,2048.0,0.0,0.0
x2idn.metal,Intel Xeon Scalable (Icelake),128.0,2048.0,0.0,0.0
x2iedn.16xlarge,Intel Xeon Scalable (Icelake),64.0,2048.0,0.0,0.0
x2iedn.24xlarge,Intel Xeon Scalable (Icelake),96.0,3072.0,0.0,0.0
x2iedn.2xlarge,Intel Xeon Scalable (Icelake),8.0,256.0,0.0,0.0
x2iedn.32xlarge,Intel Xeon Scalable (Icelake),128.0,4096.0,0.0,0.0
x2iedn.4xlarge,Intel Xeon Scalable (Icelake),16.0,512.0,0.0,0.0
x2iedn.8xlarge,Intel Xeon Scalable (Icelake),32.0,1024.0,0.0,0.0
x2iedn.metal,Intel Xeon Scalable (Icelake),128.0,4096.0,0.0,0.0
x2iedn.xlarge,Intel Xeon Scalable (Icelake),4.0,128.0,0.0,0.0
x2iezn.12xlarge,Intel Xeon Platinum 8252,48.0,1536.0,0.0,0.0
x2iezn.2xlarge,Intel Xeon Platinum 8252,8.0,256.0,0.0,0.0
x2iezn.4xlarge,Intel Xeon Platinum 8252,16.0,512.0,0.0,0.0
x2iezn.6xlarge,Intel Xeon Platinum 8252,24.0,768.0,0.0,0.0
x2iezn.8xlarge,Intel Xeon Platinum 8252,32.0,1024.0,0.0,0.0
x2iezn.metal,Intel Xeon Platinum 8252,48.0,1536.0,0.0,0.0
x8g.12xlarge,AWS Graviton4 Processor,48.0,768.0,0.0,0.0
x8g.16xlarge,AWS Graviton4 Processor,64.0,1024.0,0.0,0.0
x8g.24xlarge,AWS Graviton4 Processor,96.0,1536.0,0.0,0.0
x8g.2xlarge,AWS Graviton4 Processor,8.0,128.0,0.0,0.0
x8g.48xlarge,AWS Graviton4 Processor,192.0,3072.0,0.0,0.0
x8g.4xlarge,AWS Graviton4 Processor,16.0,256.0,0.0,0.0
x8g.8xlarge,AWS Graviton4 Processor,32.0,512.0,0.0,0.0
x8g.large,AWS Graviton4 Processor,2.0,32.0,0.0,0.0
x8g.medium,AWS Graviton4 Processor,1.0,16.0,0.0,0.0
x8g.metal-24xl,AWS Graviton4 Processor,96.0,1536.0,0.0,0.0
x8g.metal-48xl,AWS Graviton4 Processor,192.0,3072.0,0.0,0.0
x8g.xlarge,AWS Graviton4 Processor,4.0,64.0,0.0,0.0
z1d.12xlarge,Intel Xeon Platinum 8151,48.0,384.0,0.0,0.0
z1d.2xlarge,Intel Xeon Platinum 8151,8.0,64.0,0.0,0.0
z1d.3xlarge,Intel Xeon Platinum 8151,12.0,96.0,0.0,0.0
z1d.6xlarge,Intel Xeon Platinum 8151,24.0,192.0,0.0,0.0
z1d.large,Intel Xeon Platinum 8151,2.0,16.0,0.0,0.0
z1d.metal,Intel Xeon Platinum 8151,48.0,384.0,0.0,0.0
z1d.xlarge,Intel Xeon Platinum 8151,4.0,32.0,0.0,0.0
