name,family,tdp,cores,threads,memory,embodied
Intel Xeon E5-2686 v4,Broadwell,145,18,36,15.0,76.5
Intel Xeon E5-2686 v4,Broadwell,145,18,36,244.0,1241.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,407.0,2144.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,1.0,11.2
Intel Xeon E5-2686 v4,Broadwell,145,18,36,244.0,1102.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,122.0,1083.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,512.0,4478.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,16.0,86.8
Intel Xeon E5-2686 v4,Broadwell,145,18,36,64.0,347.3
Intel Xeon E5-2686 v4,Broadwell,145,18,36,488.0,2244.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,61.0,310.3
Intel Xeon E5-2686 v4,Broadwell,145,18,36,488.0,2482.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,2.0,15.3
Intel Xeon E5-2686 v4,Broadwell,145,18,36,32.0,189.3
Annapurna Labs Graviton2,Graviton2,150,64,64,2.0,23.4
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,1499.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,137.6
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,171.1
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,5477.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,89.2
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,121.8
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,90.3
Annapurna Labs Graviton2,Graviton2,150,64,64,384.0,2169.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,1952.0,7273.0
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,61.0
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,976.2
Annapurna Labs Graviton2,Graviton2,150,64,64,96.0,1127.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,342.3
Annapurna Labs Graviton2,Graviton2,150,64,64,6.0,156.1
Annapurna Labs Graviton2,Graviton2,150,64,64,96.0,2499.0
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,713.4
Annapurna Labs Graviton2,Graviton2,150,64,64,4.0,30.4
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,1185.0
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,723.0
Annapurna Labs Graviton2,Graviton2,150,64,64,512.0,2892.0
Annapurna Labs Graviton2,Graviton2,150,64,64,4.0,29.9
Annapurna Labs Graviton2,Graviton2,150,64,64,2.0,22.5
Intel Xeon E7-8880 V3,Haswell,150,18,36,976.0,3838.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,122.0,454.6
Intel Xeon E7-8880 V3,Haswell,150,18,36,488.0,1884.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,976.0,3637.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,73.3
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,293.3
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,586.8
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,1174.0
Annapurna Labs Graviton2,Graviton2,150,64,64,96.0,732.2
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,92.9
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,550.9
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,2204.0
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,60.8
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,974.6
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,592.4
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,45.1
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,1446.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,244.0,909.2
Intel Xeon E7-8880 V3,Haswell,150,18,36,976.0,3769.0
Annapurna Labs Graviton2,Graviton2,150,64,64,4.0,30.5
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,238.8
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,2738.0
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,44.6
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,1427.0
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,243.5
Annapurna Labs Graviton2,Graviton2,150,64,64,256.0,1949.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,244.0,942.2
Intel Xeon E7-8880 V3,Haswell,150,18,36,1952.0,7537.0
Annapurna Labs Graviton2,Graviton2,150,64,64,2.0,15.2
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,122.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,187.2
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,374.7
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,477.7
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,955.4
